record,group,seg,t0_s,n_gt,TP,FP,FN,F1,bad,p_bad_oof,sampen,kurtosis,spec_entropy,band_ratio,rr_cv,rr_plaus,bsqi,n_det,psd_fhr,tau_acf,peak_prob_mean,prob_max
r01,PhysioNet,0,0.0,9,9,0,0,100.000000,0,0.001326,0.528199,7.92046,0.729488,0.472434,0.00596759,1,0.777778,9,0.118786,3,0.998546,0.999213
r01,PhysioNet,1,4.0,8,8,0,0,100.000000,0,0.000596,0.497094,8.25974,0.716686,0.488792,0.00298718,1,0.75,8,0.109807,3,0.998286,0.998902
r01,PhysioNet,2,8.0,9,9,0,0,100.000000,0,0.002948,0.59614,10.0568,0.760425,0.521079,0.00609575,1,0.888889,9,0.182751,3,0.99828,0.99893
r01,PhysioNet,3,12.0,9,9,0,0,100.000000,0,0.000434,0.598472,11.0719,0.746299,0.547257,0.00438596,1,0.941176,9,0.167935,3,0.997712,0.998833
r01,PhysioNet,4,16.0,8,8,0,0,100.000000,0,0.001444,0.501851,13.3455,0.71765,0.459692,0.00468879,1,1,8,0.169147,3,0.99836,0.998966
r01,PhysioNet,5,20.0,9,9,0,0,100.000000,0,0.000325,0.606551,10.1961,0.753703,0.526201,0.0103136,1,1,9,0.146376,3,0.998625,0.999133
r01,PhysioNet,6,24.0,9,9,0,0,100.000000,0,0.001378,0.485203,8.32997,0.707307,0.47292,0.00746574,1,0.777778,9,0.127633,4,0.997746,0.998748
r01,PhysioNet,7,28.0,8,8,0,0,100.000000,0,0.000928,0.499905,11.7913,0.728342,0.462741,0.00596709,1,1,8,0.148477,3,0.998198,0.998851
r01,PhysioNet,8,32.0,9,9,0,0,100.000000,0,0.003898,0.567204,8.97458,0.741224,0.523391,0.00374093,1,0.777778,9,0.18669,3,0.997663,0.998924
r01,PhysioNet,9,36.0,8,8,0,0,100.000000,0,0.000671,0.646404,13.9092,0.745805,0.480431,0.00546716,1,1,8,0.154672,3,0.998331,0.998943
r01,PhysioNet,10,40.0,9,9,0,0,100.000000,0,0.000931,0.559794,11.934,0.740623,0.475591,0.00412458,1,1,9,0.142886,3,0.998309,0.998797
r01,PhysioNet,11,44.0,8,8,0,0,100.000000,0,0.002087,0.653151,9.97569,0.744882,0.40623,0.00452985,1,0.875,8,0.16991,3,0.998639,0.998935
r01,PhysioNet,12,48.0,9,9,0,0,100.000000,0,0.000408,0.592924,10.3596,0.750478,0.290592,0.00564126,1,1,9,0.146077,3,0.99822,0.998635
r01,PhysioNet,13,52.0,8,8,0,0,100.000000,0,0.000472,0.53993,8.94417,0.68842,0.113443,0.00776019,1,0.75,8,0.157399,4,0.995912,0.998669
r01,PhysioNet,14,56.0,9,9,0,0,100.000000,0,0.000358,0.583313,11.0787,0.696768,0.101872,0.00716334,1,0.714286,9,0.161972,3,0.997204,0.998774
r01,PhysioNet,15,60.0,9,9,0,0,100.000000,0,0.001306,0.727451,8.66887,0.751282,0.0885162,0.00858369,1,1,9,0.145929,3,0.997981,0.998867
r01,PhysioNet,16,64.0,8,8,0,0,100.000000,0,0.001094,0.726396,10.4477,0.726649,0.0932859,0.00846969,1,0.875,8,0.141833,3,0.997732,0.998789
r01,PhysioNet,17,68.0,9,9,0,0,100.000000,0,0.001310,0.842657,9.09543,0.764169,0.109652,0.00552349,1,1,9,0.155383,3,0.998224,0.998759
r01,PhysioNet,18,72.0,8,8,0,0,100.000000,0,0.000358,0.586252,17.9171,0.696113,0.224864,0.00589528,1,0.933333,8,0.142247,4,0.996253,0.99891
r01,PhysioNet,19,76.0,8,8,0,0,100.000000,0,0.001181,0.703001,10.4548,0.758656,0.246292,0.00750842,1,1,8,0.109325,3,0.998136,0.998749
r01,PhysioNet,20,80.0,9,9,0,0,100.000000,0,0.000380,0.670287,14.9542,0.757708,0.290379,0.00667914,1,0.941176,9,0.141016,3,0.998193,0.998653
r01,PhysioNet,21,84.0,8,8,0,0,100.000000,0,0.000646,0.674347,8.29815,0.756195,0.143064,0.0104781,1,1,8,0.106845,3,0.99761,0.998774
r01,PhysioNet,22,88.0,9,9,0,0,100.000000,0,0.000391,0.578507,19.0081,0.719512,0.352274,0.0057697,1,0.2,9,0.138045,3,0.997277,0.998913
r01,PhysioNet,23,92.0,8,8,0,0,100.000000,0,0.000574,0.687957,11.9487,0.746679,0.279045,0.00863605,1,1,8,0.149574,3,0.998416,0.998679
r01,PhysioNet,24,96.0,8,8,0,0,100.000000,0,0.000408,0.576116,18.6713,0.748775,0.294457,0.0103907,1,1,8,0.160645,3,0.997879,0.998653
r01,PhysioNet,25,100.0,9,9,0,0,100.000000,0,0.000472,0.497448,16.8064,0.715524,0.380506,0.00554665,1,0.941176,9,0.155515,3,0.994541,0.998919
r01,PhysioNet,26,104.0,8,8,0,0,100.000000,0,0.000462,0.521566,11.637,0.738527,0.217935,0.00417362,1,1,8,0.151405,3,0.997999,0.99888
r01,PhysioNet,27,108.0,9,9,0,0,100.000000,0,0.002877,0.638941,10.9353,0.755061,0.399308,0.00596715,1,1,9,0.173123,3,0.998426,0.998838
r01,PhysioNet,28,112.0,8,8,0,0,100.000000,0,0.000462,0.610928,14.5674,0.737809,0.380412,0.00640618,1,1,8,0.142222,3,0.998515,0.99897
r01,PhysioNet,29,116.0,9,9,0,0,100.000000,0,0.001417,0.386296,12.8393,0.722876,0.475851,0.00425532,1,0.875,9,0.160403,4,0.99781,0.998686
r01,PhysioNet,30,120.0,8,8,0,0,100.000000,0,0.004045,0.459456,20.3586,0.716767,0.49405,0.00385174,1,0.769231,8,0.188111,3,0.997662,0.998976
r01,PhysioNet,31,124.0,9,9,0,0,100.000000,0,0.001181,0.515816,10.9319,0.759366,0.494054,0.00512923,1,1,9,0.181989,3,0.998416,0.998775
r01,PhysioNet,32,128.0,8,8,0,0,100.000000,0,0.004946,0.647276,13.3761,0.760419,0.442039,0.00775068,1,1,8,0.161161,3,0.998383,0.99868
r01,PhysioNet,33,132.0,9,9,0,0,100.000000,0,0.001556,0.386685,10.735,0.702089,0.471015,0.00662248,1,0.533333,9,0.139466,4,0.998405,0.998807
r01,PhysioNet,34,136.0,8,8,0,0,100.000000,0,0.000512,0.576855,15.1311,0.750744,0.48102,0.00456857,1,1,8,0.158391,3,0.998425,0.998877
r01,PhysioNet,35,140.0,9,9,0,0,100.000000,0,0.000509,0.445377,10.9218,0.743371,0.529518,0.00606959,1,0.888889,9,0.173269,3,0.998292,0.998904
r01,PhysioNet,36,144.0,9,9,0,0,100.000000,0,0.003781,0.553616,12.0353,0.762409,0.440662,0.0100402,1,1,9,0.134953,3,0.998143,0.998705
r01,PhysioNet,37,148.0,8,8,0,0,100.000000,0,0.000858,0.518179,13.3104,0.720783,0.387475,0.00867109,1,0.8,8,0.113333,3,0.998264,0.998811
r01,PhysioNet,38,152.0,9,9,0,0,100.000000,0,0.000974,0.466261,11.3203,0.750215,0.407475,0.0043081,1,0.888889,9,0.150124,3,0.998368,0.998926
r01,PhysioNet,39,156.0,9,9,0,0,100.000000,0,0.033182,0.543336,14.5536,0.749087,0.281456,0.229398,0.875,1,9,0.125275,3,0.997724,0.99896
r01,PhysioNet,40,160.0,8,8,1,0,94.117647,0,0.030761,0.438921,9.83285,0.731009,0.463559,0.0602235,1,0.705882,9,0.142975,3,0.987382,0.998858
r01,PhysioNet,41,164.0,10,10,0,0,100.000000,0,0.002799,0.518363,8.49471,0.7531,0.497332,0.0264497,1,0.947368,10,0.267941,3,0.997389,0.998906
r01,PhysioNet,42,168.0,8,8,0,0,100.000000,0,0.014302,0.439437,11.6168,0.74293,0.470843,0.0374341,1,0.875,8,0.0839011,3,0.998725,0.999056
r01,PhysioNet,43,172.0,8,8,0,0,100.000000,0,0.052716,0.524595,15.2288,0.752199,0.478818,0.0190224,1,1,8,0.184908,3,0.99885,0.999052
r01,PhysioNet,44,176.0,9,9,0,0,100.000000,0,0.006902,0.411596,12.623,0.750948,0.385903,0.012605,1,1,9,0.142134,3,0.998245,0.998877
r01,PhysioNet,45,180.0,9,9,0,0,100.000000,0,0.005146,0.482187,14.6926,0.72199,0.309203,0.0193742,1,1,9,0.209859,3,0.997322,0.999065
r01,PhysioNet,46,184.0,9,9,0,0,100.000000,0,0.001306,0.508663,8.54739,0.723487,0.148367,0.0119539,1,0.705882,9,0.0579566,3,0.997832,0.998648
r01,PhysioNet,47,188.0,10,10,0,0,100.000000,0,0.002753,0.603048,9.32966,0.752848,0.0895175,0.00965904,1,1,10,0.186737,3,0.998035,0.998647
r01,PhysioNet,48,192.0,10,10,0,0,100.000000,0,0.020500,0.511306,8.9976,0.746099,0.157667,0.0129786,1,0.9,10,0.178201,3,0.996634,0.998488
r01,PhysioNet,49,196.0,9,9,0,0,100.000000,0,0.037907,0.637943,10.4498,0.764494,0.165619,0.0146045,1,1,9,0.197222,3,0.998499,0.999012
r01,PhysioNet,50,200.0,8,8,0,0,100.000000,0,0.000333,0.486816,12.7604,0.730606,0.355321,0.00738095,1,0,8,0.137218,4,0.998404,0.999108
r01,PhysioNet,51,204.0,9,9,0,0,100.000000,0,0.027561,0.637587,8.40158,0.750583,0.23431,0.0108258,1,1,9,0.180172,3,0.997471,0.998669
r01,PhysioNet,52,208.0,10,10,0,0,100.000000,0,0.002389,0.489426,11.4213,0.709673,0.161933,0.0120699,1,0.75,10,0.14008,3,0.997278,0.998766
r01,PhysioNet,53,212.0,9,9,0,0,100.000000,0,0.066145,0.6984,10.7154,0.764973,0.426718,0.0479702,1,1,9,0.173357,3,0.99778,0.998785
r01,PhysioNet,54,216.0,8,8,0,0,100.000000,0,0.001439,0.515057,13.9064,0.731995,0.407249,0.00863605,1,0.875,8,0.165145,4,0.995058,0.998941
r01,PhysioNet,55,220.0,9,9,0,0,100.000000,0,0.018922,0.58228,10.196,0.723109,0.430706,0.00978739,1,1,9,0.185208,3,0.997952,0.998936
r01,PhysioNet,56,224.0,8,8,0,0,100.000000,0,0.013951,0.466368,14.5371,0.685069,0.443521,0.016169,1,0.615385,8,0.0809774,4,0.997926,0.998825
r01,PhysioNet,57,228.0,8,8,0,0,100.000000,0,0.004202,0.631895,9.90805,0.743053,0.497053,0.0126515,1,0.875,8,0.127463,3,0.998504,0.999024
r01,PhysioNet,58,232.0,9,9,0,0,100.000000,0,0.033918,0.516081,11.9637,0.729205,0.433859,0.00786447,1,1,9,0.187014,3,0.998283,0.999177
r01,PhysioNet,59,236.0,8,8,0,0,100.000000,0,0.000414,0.480194,7.61864,0.705586,0.490296,0.00640618,1,0.625,8,0.0657956,3,0.998489,0.999207
r01,PhysioNet,60,240.0,9,9,0,0,100.000000,0,0.000362,0.592702,12.1646,0.752184,0.513822,0.0101847,1,1,9,0.176154,3,0.998392,0.999037
r01,PhysioNet,61,244.0,8,8,0,0,100.000000,0,0.000322,0.496423,12.766,0.686362,0.492011,0.00413871,1,0.875,8,0.0515665,4,0.996155,0.999141
r01,PhysioNet,62,248.0,9,9,0,0,100.000000,0,0.000673,0.49132,10.1954,0.743576,0.566284,0.00561731,1,0.823529,9,0.194678,3,0.998086,0.998603
r01,PhysioNet,63,252.0,8,8,0,0,100.000000,0,0.000536,0.494188,8.74711,0.70777,0.550577,0.00417865,1,0.823529,8,0.164005,4,0.998278,0.999147
