dataset,rec,lead,seg,t0_s,n_gt,TP,FP,FN,F1,lead_F1,sampen,kurtosis,spec_entropy,band_ratio,rr_cv,rr_plaus,bsqi,n_det,psd_fhr,tau_acf,peak_prob_mean,prob_max,p_bad,p_bad_kind,level
adfecgdb,r01,1,0,0.0,9,9,0,0,100.0,99.92242048099301,0.698165050217837,37.08823699429831,0.7656652880673425,0.3752664459423119,0.0059675931005552674,1.0,0.8888888888888888,9.0,0.12234824873874839,3.0,0.9981437060568068,0.9993413090705872,0.002448516166871285,oof,xanh
adfecgdb,r01,1,1,4.0,8,8,0,0,100.0,99.92242048099301,0.8099340696479929,6.425896308444463,0.7494759434762399,0.4133881362032804,0.005453824335353662,1.0,1.0,8.0,0.13408311747069973,3.0,0.9976282641291618,0.9988796412944794,0.0008301175506784093,oof,xanh
adfecgdb,r01,1,2,8.0,9,9,0,0,100.0,99.92242048099301,0.8752933756699784,5.81425276670446,0.7616419930436527,0.36630158814030106,0.010040235794476556,1.0,0.75,9.0,0.15982316794979048,3.0,0.9960778852303823,0.9991215467453003,0.014298411303119951,oof,xanh
adfecgdb,r01,1,3,12.0,9,9,0,0,100.0,99.92242048099301,0.860230870510618,7.4882555608177395,0.7492600800090955,0.4132260989336548,0.008771929824542175,1.0,0.9411764705882353,9.0,0.11860499313732145,3.0,0.9959782163302103,0.9991231560707092,0.008805353717047307,oof,xanh
adfecgdb,r01,1,4,16.0,8,8,0,0,100.0,99.92242048099301,0.8655721951898111,7.435204102028006,0.7455437312522226,0.36694124883680473,0.0056112119886948105,1.0,1.0,8.0,0.13551893124602352,3.0,0.9975553639233112,0.9991149306297302,0.0011170324241748858,oof,xanh
adfecgdb,r01,1,5,20.0,9,9,0,0,100.0,99.92242048099301,0.8421154532685236,6.445547784218762,0.753063500603433,0.4252844725687582,0.010313616179144948,1.0,1.0,9.0,0.12129895768108066,3.0,0.9976290100150638,0.9990293979644775,0.005157469891313778,oof,xanh
adfecgdb,r01,1,6,24.0,9,9,0,0,100.0,99.92242048099301,0.8415031421855492,6.492342605116534,0.754392545798908,0.4079178866085992,0.010358167436938128,1.0,1.0,9.0,0.12062017547392773,3.0,0.9973238971498277,0.9990812540054321,0.003132760507062986,oof,xanh
adfecgdb,r01,1,7,28.0,8,8,0,0,100.0,99.92242048099301,0.7822606530855105,6.509108533591752,0.7407876126849516,0.452767343491622,0.006195649469722848,1.0,1.0,8.0,0.048448793138882534,3.0,0.9976874925196171,0.9989970922470093,0.0023095044838600293,oof,xanh
adfecgdb,r01,1,8,32.0,9,9,0,0,100.0,99.92242048099301,0.9282932426263345,6.77610880900723,0.7615426518925632,0.38950795647099457,0.019676976409124903,1.0,1.0,9.0,0.15452921117135712,3.0,0.9962513314353095,0.9986569881439209,0.01430889035320129,oof,xanh
adfecgdb,r01,1,9,36.0,8,8,0,0,100.0,99.92242048099301,0.9089313296938031,6.637952570442927,0.75709899940039,0.41362156165460656,0.01089436286233868,1.0,1.0,8.0,0.09287497530648357,3.0,0.998327411711216,0.9994533658027649,0.0009768665755453038,oof,xanh
