dataset,rec,lead,seg,t0_s,n_gt,n_det_seg,TP,FP,FN,F1,lead_F1,h1_total,h1_max,h1_n_abs,h1_n_rel,h1_entropy,h1_ratio,h1_count,h0_total,h0_max,h0_entropy,h0_ratio,sl_n_prom,sl_total,sl_max,sl_entropy,sl_ratio,sampen,kurtosis,spec_entropy,band_ratio,rr_cv,rr_plaus,bsqi,n_det,psd_fhr,tau_acf,peak_prob_mean,prob_max,time_topo_ms,time_sublevel_ms,time_classical_ms,time_total_ms
adfecgdb,r01,1,0,0.0,9,9,9,0,0,100.0,99.92242048099301,8.956122145056725,0.5945471525192261,1,24,4.21776945968995,0.06638443992719731,107,147.44089610502124,12.722681045532227,5.208960662495877,0.08629004151242986,18,266.7851393342649,16.09635717135616,4.379698164038983,0.060334534417932406,0.698165050217837,37.08823699429831,0.7656652880673425,0.3752664459423119,0.0059675931005552674,1.0,0.8888888888888888,9,0.12234824873874839,3.0,0.9981437060568068,0.9993413090705872,106.58580000745133,1.299499999731779,17.871799995191395,125.7571000023745
adfecgdb,r01,1,1,4.0,8,8,8,0,0,100.0,99.92242048099301,9.885540634393692,0.6120238304138184,1,26,4.276598863765111,0.06191101256358283,111,137.51604092121124,2.617032289505005,5.372092719211867,0.019030741955437726,27,266.48993713411784,11.803511231261588,4.369826117467392,0.04429252135445972,0.8099340696479929,6.425896308444463,0.7494759434762399,0.4133881362032804,0.005453824335353662,1.0,1.0,8,0.13408311747069973,3.0,0.9976282641291618,0.9988796412944794,64.870800008066,1.1922999983653426,16.307299956679344,82.37039996311069
adfecgdb,r01,1,2,8.0,9,9,9,0,0,100.0,99.92242048099301,8.495061337947845,0.5045349597930908,1,26,4.333976622505004,0.059391561722956565,123,125.37544503808022,3.2679405212402344,5.357955277250415,0.02606523566275389,33,265.99600702253997,10.233609188169426,4.464730236615449,0.03847279251564935,0.8752933756699784,5.81425276670446,0.7616419930436527,0.36630158814030106,0.010040235794476556,1.0,0.75,9,0.15982316794979048,3.0,0.9960778852303823,0.9991215467453003,62.02310003573075,0.8993999799713492,13.990500010550022,76.91300002625212
adfecgdb,r01,1,3,12.0,9,9,9,0,0,100.0,99.92242048099301,8.975760519504547,0.4806075096130371,0,35,4.380555611456333,0.05354504596781651,117,119.02479833364487,2.8359808921813965,5.391182483216557,0.02382680695019269,33,239.09981066776822,9.714508827491485,4.4201267788681005,0.04062951283968125,0.860230870510618,7.4882555608177395,0.7492600800090955,0.4132260989336548,0.008771929824542175,1.0,0.9411764705882353,9,0.11860499313732145,3.0,0.9959782163302103,0.9991231560707092,61.663600034080446,1.2558000162243843,16.041799972299486,78.96120002260432
adfecgdb,r01,1,4,16.0,8,8,8,0,0,100.0,99.92242048099301,7.976662755012512,0.6763015985488892,1,13,4.255451680841418,0.08478503094841491,118,115.58620861545205,2.6816511154174805,5.367183940161255,0.023200441882639648,23,235.45160964794803,10.991255885734281,4.371788658682209,0.04668159161098359,0.8655721951898111,7.435204102028006,0.7455437312522226,0.36694124883680473,0.0056112119886948105,1.0,1.0,8,0.13551893124602352,3.0,0.9975553639233112,0.9991149306297302,59.893199999351054,1.3032000279054046,12.754099967423826,73.95049999468029
adfecgdb,r01,1,5,20.0,9,9,9,0,0,100.0,99.92242048099301,8.309231966733932,0.44872498512268066,0,32,4.2646816247626855,0.05400318427973851,111,127.91354887932539,3.1917147636413574,5.3921620578024845,0.024952124240196168,32,247.0246963947882,9.628104810374767,4.371310716863417,0.03897628435898308,0.8421154532685236,6.445547784218762,0.753063500603433,0.4252844725687582,0.010313616179144948,1.0,1.0,9,0.12129895768108066,3.0,0.9976290100150638,0.9990293979644775,57.68889997852966,1.1236999998800457,12.505699996836483,71.31829997524619
adfecgdb,r01,1,6,24.0,9,9,9,0,0,100.0,99.92242048099301,8.260894179344177,0.5145896673202515,1,29,4.273159415935226,0.06229224780616205,105,124.70817694067955,2.2908430099487305,5.42880626050808,0.018369629531497417,34,259.4581484869885,10.608167417280459,4.359899004560084,0.0408858518383068,0.8415031421855492,6.492342605116534,0.754392545798908,0.4079178866085992,0.010358167436938128,1.0,1.0,9,0.12062017547392773,3.0,0.9973238971498277,0.9990812540054321,58.772899967152625,1.3982999953441322,16.21169998543337,76.38289994793013
adfecgdb,r01,1,7,28.0,8,8,8,0,0,100.0,99.92242048099301,9.068206086754799,0.4062999486923218,0,46,4.379373799800662,0.04480488696498933,122,127.86240249872208,2.126396894454956,5.432182163739029,0.01663035304280468,34,267.00316428364636,10.890263441480158,4.403050182773377,0.04078702014898605,0.7822606530855105,6.509108533591752,0.7407876126849516,0.452767343491622,0.006195649469722848,1.0,1.0,8,0.048448793138882534,3.0,0.9976874925196171,0.9989970922470093,60.983599978499115,1.1317000025883317,12.245199992321432,74.36049997340888
adfecgdb,r01,1,8,32.0,9,9,9,0,0,100.0,99.92242048099301,9.636332497000694,0.38536596298217773,0,49,4.381012697802611,0.0399909367077239,119,134.22570451162755,2.7824833393096924,5.384600163369394,0.020729884409499476,38,276.1758805652542,10.13097412201425,4.497497878004174,0.03668305176135933,0.9282932426263345,6.77610880900723,0.7615426518925632,0.38950795647099457,0.019676976409124903,1.0,1.0,9,0.15452921117135712,3.0,0.9962513314353095,0.9986569881439209,51.4854000066407,1.2317000073380768,15.674099966417998,68.39119998039678
adfecgdb,r01,1,9,36.0,8,8,8,0,0,100.0,99.92242048099301,9.317382171750069,0.3993757367134094,0,36,4.357091902263759,0.04286351352252759,128,129.81990298628807,2.8705928325653076,5.381853044950448,0.022112116605637007,31,257.44222509495137,10.699738535770916,4.397932101939174,0.04156170780385592,0.9089313296938031,6.637952570442927,0.75709899940039,0.41362156165460656,0.01089436286233868,1.0,1.0,8,0.09287497530648357,3.0,0.998327411711216,0.9994533658027649,61.53999996604398,0.9678000351414084,9.683499985840172,72.19129998702556
adfecgdb,r01,1,10,40.0,9,9,9,0,0,100.0,99.92242048099301,7.698667153716087,0.2907583713531494,0,52,4.32886905118496,0.03776736486298993,110,131.59620642662048,2.9973504543304443,5.399399273119026,0.022776875836476165,34,257.87924179735444,10.520776068271992,4.403794311638641,0.04079729719594624,0.8525158014614022,5.835491226610689,0.7500480132341792,0.39915285491242913,0.007285499043981332,1.0,1.0,9,0.07759831201481768,3.0,0.9979788859685262,0.9990816116333008,55.21540000336245,1.1360999778844416,12.515300011727959,68.86679999297485
adfecgdb,r01,1,11,44.0,8,8,8,0,0,100.0,99.92242048099301,7.6467809826135635,0.3698287010192871,0,39,4.340241165209912,0.04836397195893486,119,123.39831430464983,2.4556543827056885,5.423852099328288,0.019900226324348874,31,257.59617015941683,10.30036079473824,4.463687745596342,0.03998646714492565,0.926101923723813,6.690270184858159,0.7526419978208209,0.43670955577978615,0.011095824927230314,1.0,1.0,8,0.09480661554905255,3.0,0.9981141313910484,0.9992609620094299,54.77780004730448,0.6639000494033098,8.72499996330589,64.16670006001368
adfecgdb,r01,1,12,48.0,9,9,9,0,0,100.0,99.92242048099301,8.949298560619354,0.3856508731842041,0,43,4.442974481765166,0.04309286035904374,130,122.45178251713514,2.019597291946411,5.437294882533934,0.01649300035027081,43,248.22782799627888,8.356889284221083,4.447204873606351,0.03366620637048931,0.8631952605241737,4.587466735474349,0.7599061929922531,0.37636274000809755,0.010225653567809117,1.0,1.0,9,0.12553294661910408,3.0,0.9978831542862786,0.9988736510276794,51.02830001851544,0.8410000009462237,11.744299961719662,63.61359998118132
adfecgdb,r01,1,13,52.0,8,8,8,0,0,100.0,99.92242048099301,9.914430305361748,1.1877578496932983,1,3,4.218341290408732,0.11980091776436577,120,118.03747860156,2.4927709102630615,5.4319479974914096,0.02111846965723051,33,250.9826223781939,9.666359762227806,4.485863275843414,0.03851405994022162,0.921490902876771,5.902298679792063,0.7468516493014147,0.41964803712182874,0.006018402316407651,1.0,0.875,8,0.12487288378443707,3.0,0.9982019923627377,0.999278724193573,48.15669998060912,1.084199990145862,10.340899985749274,59.581799956504256
adfecgdb,r01,1,14,56.0,9,9,9,0,0,100.0,99.92242048099301,8.132821440696716,0.480546236038208,0,28,4.274112069196734,0.05908727242350249,113,136.59360986202955,1.7273027896881104,5.443489844068828,0.01264556073620729,36,277.11865390065566,10.24894150121481,4.4525188607234325,0.036983946612590426,0.8578703879965083,5.999308671781225,0.7479308579192407,0.3729150613751715,0.00836497482980354,1.0,0.7777777777777778,9,0.04457413624715614,3.0,0.9981891777780321,0.9992313385009766,52.960600005462766,1.2444999883882701,15.140900039114058,69.3460000329651
